molecule         eps (A)  seed     dE (Eh)    max df   mean df    max dI   maxrelI
benzene            1e-08     1    1.00e-12      0.00     0.000     0.000  2.33e-06
benzene            1e-08     2    0.00e+00      0.00     0.000     0.000  2.00e-06
benzene            1e-06     1    6.10e-11      0.01     0.001     0.021  1.74e-04
benzene            1e-06     2    1.10e-11      0.01     0.001     0.029  2.45e-04
benzene            1e-04     1    7.16e-08      0.78     0.154     0.641  5.19e-03
benzene            1e-04     2    6.14e-08      0.32     0.079     3.276  2.65e-02
acetic_acid        1e-08     1    1.00e-12      0.00     0.000     0.000  2.82e-06
acetic_acid        1e-08     2    1.60e-11      0.00     0.000     0.000  5.90e-06
acetic_acid        1e-06     1    5.10e-11      0.02     0.003     0.003  3.66e-04
acetic_acid        1e-06     2    1.61e-09      0.01     0.002     0.003  4.02e-04
acetic_acid        1e-04     1    4.03e-08      1.91     0.333     0.276  3.69e-02
acetic_acid        1e-04     2    1.22e-07      0.97     0.224     0.282  3.98e-02
paracetamol        1e-08     1    5.00e-12      0.00     0.000     0.002  7.58e-05
paracetamol        1e-08     2    1.00e-11      0.00     0.000     0.000  1.09e-04
paracetamol        1e-06     1    5.47e-10      0.01     0.001     0.168  7.69e-03
paracetamol        1e-06     2    1.05e-09      0.02     0.003     0.037  1.07e-02
paracetamol        1e-04     1    1.47e-07      1.44     0.211     1.597  2.29e-01
paracetamol        1e-04     2    1.87e-06     19.34     1.024     6.512  5.31e-01
caffeine           1e-08     1    4.00e-12      0.00     0.000     0.000  1.87e-05
caffeine           1e-08     2    6.00e-12      0.00     0.000     0.000  2.99e-05
caffeine           1e-06     1    3.83e-10      0.04     0.002     0.011  2.03e-03
caffeine           1e-06     2    5.56e-10      0.02     0.002     0.016  3.12e-03
caffeine           1e-04     1    1.01e-07      3.93     0.209     1.075  2.04e-01
caffeine           1e-04     2    9.81e-08      2.93     0.247     1.845  1.75e-01
